No,M,AoA,Cl,Cd,Cp
396,0.730519,2.261084,0.709918,0.012863,-1.006191
397,0.728864,2.128401,0.682905,0.011873,-0.71784
398,0.732219,2.15049,0.692107,0.01263,-1.076842
399,0.730731,2.408404,0.736008,0.013824,-1.139615
400,0.728154,2.350339,0.72271,0.012818,-0.863796
401,0.729513,2.01782,0.663424,0.011504,-0.687925
402,0.721373,2.209741,0.68421,0.011239,-0.679237
403,0.729173,2.229832,0.702318,0.012407,-0.85495
404,0.719847,2.586703,0.751791,0.012461,-0.622302
405,0.729809,2.34076,0.723232,0.013159,-1.005197
406,0.726192,2.543965,0.754331,0.013498,-0.788477
407,0.730573,2.311681,0.718901,0.013156,-1.039689
408,0.730975,2.401059,0.73528,0.013844,-1.152869
409,0.726891,2.151124,0.6837,0.011662,-0.623174
410,0.732575,2.022875,0.669521,0.012045,-1.003405
411,0.727393,2.788069,0.797645,0.01574,-1.10414
412,0.721858,2.392114,0.719277,0.011914,-0.631082
413,0.735976,1.940696,0.658984,0.012322,-1.111674
414,0.733525,2.456985,0.746321,0.014997,-1.21873
415,0.727584,2.332061,0.718279,0.012601,-0.777455
416,0.727659,2.394835,0.729915,0.012956,-0.840887
417,0.730675,2.709071,0.786625,0.016145,-1.247301
418,0.73055,2.124832,0.684879,0.012158,-0.89264
419,0.727924,2.299916,0.712686,0.012513,-0.774171
420,0.725876,2.009624,0.655381,0.011038,-0.650201
421,0.728829,2.399569,0.73218,0.013265,-0.94843
422,0.729647,2.250363,0.706517,0.012611,-0.914054
423,0.725032,2.334362,0.714147,0.012145,-0.611491
424,0.73171,2.164701,0.694054,0.012603,-1.046291
425,0.730071,2.258813,0.708633,0.012743,-0.959307
426,0.727276,2.260256,0.704384,0.0122,-0.676893
427,0.719992,2.659585,0.765265,0.012864,-0.604936
428,0.734339,2.485049,0.752205,0.015516,-1.231126
429,0.726152,2.627121,0.769486,0.014074,-0.855293
430,0.723503,2.092848,0.666529,0.011075,-0.67129
431,0.73483,2.36559,0.731897,0.014736,-1.208945
432,0.732499,2.21757,0.704645,0.013092,-1.129994
433,0.737438,2.003007,0.671908,0.013041,-1.146612
434,0.732419,2.357451,0.728639,0.013934,-1.174003
435,0.727407,2.545504,0.756599,0.013831,-0.930109
436,0.721439,2.478269,0.734475,0.012211,-0.620416
437,0.722316,2.548301,0.749057,0.012697,-0.598211
438,0.729213,2.574479,0.762603,0.014525,-1.112965
439,0.731371,2.578084,0.765101,0.01524,-1.220845
440,0.72944,2.49651,0.750208,0.014054,-1.087674
441,0.723126,2.191584,0.684286,0.011349,-0.654013
442,0.729684,2.393463,0.732594,0.013441,-1.040098
443,0.726871,2.186198,0.690147,0.011805,-0.62927
444,0.722693,2.606035,0.760626,0.013086,-0.597182
445,0.734543,2.256646,0.713243,0.013877,-1.181457
446,0.735637,2.518783,0.758118,0.01625,-1.240969
447,0.727629,2.280233,0.708847,0.012364,-0.726444
448,0.731749,2.234499,0.706348,0.013001,-1.099879
449,0.728039,2.259381,0.705562,0.01234,-0.749506
450,0.729282,2.293151,0.71371,0.012759,-0.913743
451,0.732987,2.216854,0.704896,0.013198,-1.142885
452,0.722588,1.852434,0.61953,0.010467,-0.728653
453,0.728418,1.843947,0.628692,0.010789,-0.643979
454,0.723335,2.076726,0.663212,0.011015,-0.677957
455,0.722101,2.527653,0.744951,0.012554,-0.602537
456,0.727741,2.300043,0.712547,0.012477,-0.755965
457,0.730156,2.709952,0.786227,0.015964,-1.239103
458,0.731815,2.482687,0.749205,0.014634,-1.200895
459,0.728503,2.585002,0.764807,0.014429,-1.069271
460,0.728857,2.47016,0.744702,0.013715,-1.008943
461,0.72941,2.351002,0.724285,0.013118,-0.969661
462,0.718102,2.324591,0.699261,0.011304,-0.705431
463,0.721008,2.49829,0.737491,0.012234,-0.622742
464,0.726955,2.184066,0.689895,0.011809,-0.631502
465,0.731541,2.58347,0.766486,0.015361,-1.22797
466,0.727883,2.268869,0.70708,0.012356,-0.741953
467,0.733825,2.519705,0.757315,0.015601,-1.234539
468,0.73617,2.349228,0.729844,0.015038,-1.210733
469,0.73553,1.928426,0.656112,0.01216,-1.10012
470,0.733111,2.611047,0.772023,0.016136,-1.250092
471,0.728627,2.067632,0.671074,0.011575,-0.660912
472,0.731519,2.221434,0.703895,0.01287,-1.075714
473,0.726295,2.235196,0.6982,0.011923,-0.623471
474,0.728601,2.490777,0.748221,0.013791,-0.998709
475,0.737373,2.465882,0.750374,0.016439,-1.234624
476,0.72686,2.264366,0.70436,0.012144,-0.655403
477,0.735813,2.247047,0.713119,0.014207,-1.190247
478,0.731232,2.51458,0.75455,0.014704,-1.202273
479,0.730876,2.314375,0.71954,0.013257,-1.090817
480,0.729917,2.405416,0.734724,0.013572,-1.064676
481,0.72471,2.417293,0.729159,0.012485,-0.614952
482,0.729046,2.347548,0.723271,0.01301,-0.929878
483,0.723859,2.307156,0.707114,0.011854,-0.617318
484,0.733411,2.803637,0.802825,0.018121,-1.28949
485,0.718769,2.165729,0.670903,0.010945,-0.721491
486,0.732101,2.163914,0.694384,0.01268,-1.078159
487,0.728623,2.460235,0.742403,0.013581,-0.972407
488,0.720006,2.530879,0.741583,0.012227,-0.632236
489,0.724466,2.262488,0.699888,0.011763,-0.617204
490,0.731243,2.143909,0.68975,0.012375,-0.965032
491,0.728044,2.449778,0.740306,0.013363,-0.925966
492,0.727442,2.330797,0.717929,0.012569,-0.7607
493,0.733075,2.048477,0.674798,0.012258,-1.062724
494,0.731489,2.523366,0.755932,0.014843,-1.207892
